------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electrostatic Potential (V)
                   0,      -0.188961394585
       1.88442206295,      -0.188961394585
        3.7688441259,      -0.188961394585
       5.65326618884,      -0.188961394585
       7.53768825179,      -0.188961394585
       9.42211031474,      -0.188961394585
       11.3065323777,      -0.188961394585
       13.1909544406,      -0.188961394585
       15.0753765036,      -0.188961394585
       16.9597985665,      -0.188961394585
       18.8442206295,      -0.188961394585
       20.7286426924,      -0.188961394585
       22.6130647554,      -0.188961394585
       24.4974868183,      -0.188961394585
       26.3819088813,      -0.188961394585
       28.2663309442,      -0.188961394585
       30.1507530072,      -0.188961394585
       32.0351750701,      -0.188961394585
       33.9195971331,      -0.188961394585
        35.804019196,      -0.188961394585
        37.688441259,      -0.188961394585
       39.5728633219,      -0.188961394585
       41.4572853849,      -0.188961394585
       43.3417074478,      -0.188961394585
       45.2261295108,      -0.188961394585
       47.1105515737,      -0.188961394585
       48.9949736367,      -0.188961394585
       50.8793956996,      -0.188961394585
       52.7638177626,      -0.188961394585
       54.6482398255,      -0.188961394585
       56.5326618884,      -0.188961394585
       58.4170839514,      -0.188961394585
       60.3015060143,      -0.188961394585
       62.1859280773,      -0.188961394585
       64.0703501402,      -0.188961394585
       65.9547722032,      -0.188961394585
       67.8391942661,      -0.188961394585
       69.7236163291,      -0.188961394585
        71.608038392,      -0.188961394585
        73.492460455,      -0.188961394585
       75.3768825179,      -0.188961394585
       77.2613045809,      -0.188961394585
       79.1457266438,      -0.188961394585
       81.0301487068,      -0.188961394585
       82.9145707697,      -0.188961394585
       84.7989928327,      -0.188961394585
       86.6834148956,      -0.188961394585
       88.5678369586,      -0.188961394585
       90.4522590215,      -0.188961394585
       92.3366810845,      -0.188961394585
       94.2211031474,      -0.188961394585
       96.1055252104,      -0.188961394585
       97.9899472733,      -0.188961394585
       99.8743693363,      -0.188961394585
       101.758791399,      -0.188961394585
       103.643213462,      -0.188961394585
       105.527635525,      -0.188961394585
       107.412057588,      -0.188961394585
       109.296479651,      -0.188961394585
       111.180901714,      -0.188961394585
       113.065323777,      -0.188961394585
        114.94974584,      -0.188961394585
       116.834167903,      -0.188961394585
       118.718589966,      -0.188961394585
       120.603012029,      -0.188961394585
       122.487434092,      -0.188961394585
       124.371856155,      -0.188961394585
       126.256278218,      -0.188961394585
        128.14070028,      -0.188961394585
       130.025122343,      -0.188961394585
       131.909544406,      -0.188961394585
       133.793966469,      -0.188961394585
       135.678388532,      -0.188961394585
       137.562810595,      -0.188961394585
       139.447232658,      -0.188961394585
       141.331654721,      -0.188961394585
       143.216076784,      -0.188961394585
       145.100498847,      -0.188961394585
        146.98492091,      -0.188961394585
       148.869342973,      -0.188961394585
       150.753765036,      -0.188961394585
       152.638187099,      -0.188961394585
       154.522609162,      -0.188961394585
       156.407031225,      -0.188961394585
       158.291453288,      -0.188961394585
       160.175875351,      -0.188961394585
       162.060297414,      -0.188961394585
       163.944719476,      -0.188961394585
       165.829141539,      -0.188961394585
       167.713563602,      -0.188961394585
       169.597985665,      -0.188961394585
       171.482407728,      -0.188961394585
       173.366829791,      -0.188961394585
       175.251251854,      -0.188961394585
       177.135673917,      -0.188961394585
        179.02009598,      -0.188961394585
       180.904518043,      -0.188961394585
       182.788940106,      -0.188961394585
       184.673362169,      -0.188961394585
       186.557784232,      -0.188961394585
       188.442206295,      -0.188961394585
       190.326628358,      -0.188961394585
       192.211050421,      -0.188961394585
       194.095472484,      -0.188961394585
       195.979894547,      -0.188961394585
        197.86431661,      -0.188961394585
       199.748738673,      -0.188961394585
       201.633160735,      -0.188961394585
       203.517582798,      -0.188961394585
       205.402004861,      -0.188961394585
       207.286426924,      -0.188961394585
       209.170848987,      -0.188961394585
        211.05527105,      -0.188961394585
       212.939693113,      -0.188961394585
       214.824115176,      -0.188961394585
       216.708537239,      -0.188961394585
       218.592959302,      -0.188961394585
       220.477381365,      -0.188961394585
       222.361803428,      -0.188961394585
       224.246225491,      -0.188961394585
       226.130647554,      -0.188961394585
       228.015069617,      -0.188961394585
        229.89949168,      -0.188961394585
       231.783913743,      -0.188961394585
       233.668335806,      -0.188961394585
       235.552757869,      -0.188961394585
       237.437179931,      -0.188961394585
       239.321601994,      -0.188961394585
       241.206024057,      -0.188961394585
        243.09044612,      -0.188961394585
       244.974868183,      -0.188961394585
       246.859290246,      -0.188961394585
       248.743712309,      -0.188961394585
       250.628134372,      -0.188961394585
       252.512556435,      -0.188961394585
       254.396978498,      -0.188961394585
       256.281400561,      -0.188961394585
       258.165822624,      -0.188961394585
       260.050244687,      -0.188961394585
        261.93466675,      -0.188961394585
       263.819088813,      -0.188961394585
       265.703510876,      -0.188961394585
       267.587932939,      -0.188961394585
       269.472355002,      -0.188961394585
       271.356777065,      -0.188961394585
       273.241199127,      -0.188961394585
        275.12562119,      -0.188961394585
       277.010043253,      -0.188961394585
       278.894465316,      -0.188961394585
       280.778887379,      -0.188961394585
       282.663309442,      -0.188961394585
       284.547731505,      -0.188961394585
       286.432153568,      -0.188961394585
       288.316575631,      -0.188961394585
       290.200997694,      -0.188961394585
       292.085419757,      -0.188961394585
        293.96984182,      -0.188961394585
       295.854263883,      -0.188961394585
       297.738685946,      -0.188961394585
       299.623108009,      -0.188961394585
       301.507530072,      -0.188961394585
       303.391952135,      -0.188961394585
       305.276374198,      -0.188961394585
       307.160796261,      -0.188961394585
       309.045218324,      -0.188961394585
       310.929640386,      -0.188961394585
       312.814062449,      -0.188961394585
       314.698484512,      -0.188961394585
       316.582906575,      -0.188961394585
