------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
                   0,      -0.299292697167
       1.88442206295,      -0.299292697167
        3.7688441259,      -0.299292697167
       5.65326618884,      -0.299292697167
       7.53768825179,      -0.299292697167
       9.42211031474,      -0.299292697167
       11.3065323777,      -0.299292697167
       13.1909544406,      -0.299292697167
       15.0753765036,      -0.299292697167
       16.9597985665,      -0.299292697167
       18.8442206295,      -0.299292697167
       20.7286426924,      -0.299292697167
       22.6130647554,      -0.299292697167
       24.4974868183,      -0.299292697167
       26.3819088813,      -0.299292697167
       28.2663309442,      -0.299292697167
       30.1507530072,      -0.299292697167
       32.0351750701,      -0.299292697167
       33.9195971331,      -0.299292697167
        35.804019196,      -0.299292697167
        37.688441259,      -0.299292697167
       39.5728633219,      -0.299292697167
       41.4572853849,      -0.299292697167
       43.3417074478,      -0.299292697167
       45.2261295108,      -0.299292697167
       47.1105515737,      -0.299292697167
       48.9949736367,      -0.299292697167
       50.8793956996,      -0.299292697167
       52.7638177626,      -0.299292697167
       54.6482398255,      -0.299292697167
       56.5326618884,      -0.299292697167
       58.4170839514,      -0.299292697167
       60.3015060143,      -0.299292697167
       62.1859280773,      -0.299292697167
       64.0703501402,      -0.299292697167
       65.9547722032,      -0.299292697167
       67.8391942661,      -0.299292697167
       69.7236163291,      -0.299292697167
        71.608038392,      -0.299292697167
        73.492460455,      -0.299292697167
       75.3768825179,      -0.299292697167
       77.2613045809,      -0.299292697167
       79.1457266438,      -0.299292697167
       81.0301487068,      -0.299292697167
       82.9145707697,      -0.299292697167
       84.7989928327,      -0.299292697167
       86.6834148956,      -0.299292697167
       88.5678369586,      -0.299292697167
       90.4522590215,      -0.299292697167
       92.3366810845,      -0.299292697167
       94.2211031474,      -0.299292697167
       96.1055252104,      -0.299292697167
       97.9899472733,      -0.299292697167
       99.8743693363,      -0.299292697167
       101.758791399,      -0.299292697167
       103.643213462,      -0.299292697167
       105.527635525,      -0.299292697167
       107.412057588,      -0.299292697167
       109.296479651,      -0.299292697167
       111.180901714,      -0.299292697167
       113.065323777,      -0.299292697167
        114.94974584,      -0.299292697167
       116.834167903,      -0.299292697167
       118.718589966,      -0.299292697167
       120.603012029,      -0.299292697167
       122.487434092,      -0.299292697167
       124.371856155,      -0.299292697167
       126.256278218,      -0.299292697167
        128.14070028,      -0.299292697167
       130.025122343,      -0.299292697167
       131.909544406,      -0.299292697167
       133.793966469,      -0.299292697167
       135.678388532,      -0.299292697167
       137.562810595,      -0.299292697167
       139.447232658,      -0.299292697167
       141.331654721,      -0.299292697167
       143.216076784,      -0.299292697167
       145.100498847,      -0.299292697167
        146.98492091,      -0.299292697167
       148.869342973,      -0.299292697167
       150.753765036,      -0.299292697167
       152.638187099,      -0.299292697167
       154.522609162,      -0.299292697167
       156.407031225,      -0.299292697167
       158.291453288,      -0.299292697167
       160.175875351,      -0.299292697167
       162.060297414,      -0.299292697167
       163.944719476,      -0.299292697167
       165.829141539,      -0.299292697167
       167.713563602,      -0.299292697167
       169.597985665,      -0.299292697167
       171.482407728,      -0.299292697167
       173.366829791,      -0.299292697167
       175.251251854,      -0.299292697167
       177.135673917,      -0.299292697167
        179.02009598,      -0.299292697167
       180.904518043,      -0.299292697167
       182.788940106,      -0.299292697167
       184.673362169,      -0.299292697167
       186.557784232,      -0.299292697167
       188.442206295,      -0.299292697167
       190.326628358,      -0.299292697167
       192.211050421,      -0.299292697167
       194.095472484,      -0.299292697167
       195.979894547,      -0.299292697167
        197.86431661,      -0.299292697167
       199.748738673,      -0.299292697167
       201.633160735,      -0.299292697167
       203.517582798,      -0.299292697167
       205.402004861,      -0.299292697167
       207.286426924,      -0.299292697167
       209.170848987,      -0.299292697167
        211.05527105,      -0.299292697167
       212.939693113,      -0.299292697167
       214.824115176,      -0.299292697167
       216.708537239,      -0.299292697167
       218.592959302,      -0.299292697167
       220.477381365,      -0.299292697167
       222.361803428,      -0.299292697167
       224.246225491,      -0.299292697167
       226.130647554,      -0.299292697167
       228.015069617,      -0.299292697167
        229.89949168,      -0.299292697167
       231.783913743,      -0.299292697167
       233.668335806,      -0.299292697167
       235.552757869,      -0.299292697167
       237.437179931,      -0.299292697167
       239.321601994,      -0.299292697167
       241.206024057,      -0.299292697167
        243.09044612,      -0.299292697167
       244.974868183,      -0.299292697167
       246.859290246,      -0.299292697167
       248.743712309,      -0.299292697167
       250.628134372,      -0.299292697167
       252.512556435,      -0.299292697167
       254.396978498,      -0.299292697167
       256.281400561,      -0.299292697167
       258.165822624,      -0.299292697167
       260.050244687,      -0.299292697167
        261.93466675,      -0.299292697167
       263.819088813,      -0.299292697167
       265.703510876,      -0.299292697167
       267.587932939,      -0.299292697167
       269.472355002,      -0.299292697167
       271.356777065,      -0.299292697167
       273.241199127,      -0.299292697167
        275.12562119,      -0.299292697167
       277.010043253,      -0.299292697167
       278.894465316,      -0.299292697167
       280.778887379,      -0.299292697167
       282.663309442,      -0.299292697167
       284.547731505,      -0.299292697167
       286.432153568,      -0.299292697167
       288.316575631,      -0.299292697167
       290.200997694,      -0.299292697167
       292.085419757,      -0.299292697167
        293.96984182,      -0.299292697167
       295.854263883,      -0.299292697167
       297.738685946,      -0.299292697167
       299.623108009,      -0.299292697167
       301.507530072,      -0.299292697167
       303.391952135,      -0.299292697167
       305.276374198,      -0.299292697167
       307.160796261,      -0.299292697167
       309.045218324,      -0.299292697167
       310.929640386,      -0.299292697167
       312.814062449,      -0.299292697167
       314.698484512,      -0.299292697167
       316.582906575,      -0.299292697167
