------------------------------------------------------------
 solve gen=8e22 reg.gen=1 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
       264.846680809,                9e+16
        266.01852453,                9e+16
        267.19036825,                9e+16
       268.362211971,                9e+16
       269.534055691,                9e+16
       270.705899411,                9e+16
       271.877743132,                9e+16
       273.049586852,                9e+16
       274.221430573,                9e+16
       275.393274293,                9e+16
       276.565118013,                9e+16
       277.736961734,                9e+16
       278.908805454,                9e+16
       280.080649175,                9e+16
       281.252492895,                9e+16
       282.424336615,                9e+16
       283.596180336,                9e+16
       284.768024056,                9e+16
       285.939867777,                9e+16
       287.111711497,                9e+16
       288.283555217,                9e+16
       289.455398938,                9e+16
       290.627242658,                9e+16
       291.799086379,                9e+16
       292.970930099,                9e+16
       294.142773819,                9e+16
        295.31461754,                9e+16
        296.48646126,                9e+16
       297.658304981,                9e+16
       298.830148701,                9e+16
       300.001992421,                9e+16
       301.173836142,                9e+16
       302.345679862,                9e+16
       303.517523583,                9e+16
       304.689367303,                9e+16
       305.861211023,                9e+16
       307.033054744,                9e+16
       308.204898464,                9e+16
       309.376742184,                9e+16
       310.548585905,                9e+16
       311.720429625,                9e+16
       312.892273346,                9e+16
       314.064117066,                9e+16
       315.235960786,                9e+16
       316.407804507,                9e+16
       317.579648227,                9e+16
       318.751491948,                9e+16
       319.923335668,                9e+16
       321.095179388,                9e+16
       322.267023109,                9e+16
       323.438866829,                9e+16
        324.61071055,                9e+16
        325.78255427,                9e+16
        326.95439799,                9e+16
       328.126241711,                9e+16
       329.298085431,                9e+16
       330.469929152,                9e+16
       331.641772872,                9e+16
       332.813616592,                9e+16
       333.985460313,                9e+16
       335.157304033,                9e+16
       336.329147754,                9e+16
       337.500991474,                9e+16
       338.672835194,                9e+16
       339.844678915,                9e+16
       341.016522635,                9e+16
       342.188366356,                9e+16
       343.360210076,                9e+16
       344.532053796,                9e+16
       345.703897517,                9e+16
       346.875741237,                9e+16
       348.047584958,                9e+16
       349.219428678,                9e+16
       350.391272398,                9e+16
       351.563116119,                9e+16
       352.734959839,                9e+16
        353.90680356,                9e+16
        355.07864728,                9e+16
          356.250491,                9e+16
       357.422334721,                9e+16
       358.594178441,                9e+16
       359.766022162,                9e+16
       360.937865882,                9e+16
       362.109709602,                9e+16
       363.281553323,                9e+16
       364.453397043,                9e+16
       365.625240764,                9e+16
       366.797084484,                9e+16
       367.968928204,                9e+16
       369.140771925,                9e+16
       370.312615645,                9e+16
       371.484459366,                9e+16
       372.656303086,                9e+16
       373.828146806,                9e+16
       374.999990527,                9e+16

