17045,
	10882,
	6956,
	4449,
	2829,
	1807,
	1149,
	731,
	469,
	295,
	196,
	126,
	85,
	52,
	38,
	26,
	23,
	13,
	8,
	8,
	8,
	7,
	6,
	9,
	7,
	13,
	11,
	7,
	6,
	5,
	4,
	10,
	9,
	8,
	6,
	11,
	6,
	5,
	5,
	6,
	6,
	7,
	7,
	5,
	6,
	3,
	8,
	11,
	6,
	2,
	7,
	4,
	5,
	6,
	7,
	8,
	5,


	44,
	33,
	40,
	40,
	31,

107,
	106,
	103,
	100,
	98,
	94,
	92,
	91,
	88,
	85,
	83,
	82,
	78,
	78,
	75,
	73,
	71,
	69,
	68,
	66,
	64,
	63,
	61,
	60,
	57,
	56,
	55,
	53,
	52,
	50,
	49,
	48,
	47,
	46,
	44,
	44,
	42,
	41,
	40,
	39,
	39,
	37,
	37,
	36,
	34,
	32,
	33,
	31,
	32,
	31,
	29,
	28,
	27,
	28,
	26,
	26,
	24,
	26,
	23,
	24,
	23,
	22,
	21,
	21,
	21,
	20,
	19,
	19,
	18,

63,
	1817,
	1774,
	1717,
	1675,
	1628,
	1596,
	1550,
	1519,
	1485,
	1440,
	1406,
	1367,
	1331,
	1308,
	1270,
	1232,
	1191,
	1178,
	1152,
	1112,
	1087,
	1058,
	1039,
	1007,
	986,
	966,

3468,
	13058,
	12773,
	12488,
	12196,
	11893,
	11637,
	11356,
	11098,
	10869,
	10618,
	10355,
	10121,
	9891,
	9655,
	9457,
	9195,
	9007,
	8774,
	8599,
	8370,
	8210,
	7986,
	7824,
	7634,
	7478,
	7309,
	7136,
	6950,
	6805,
	6650,
	6462,
	6341,
	6180,
	6035,
	5906,
	5778,
	5651,
	5500,
	5353,

,
	9417,
	9179,
	8963,
	8775,

57166,
	55692,
	54541,
	53217,
	52124,
	50901,
	49926,
	48603,
	47496,
	46485,

