------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
                   0,      -0.122785827757
       1.88442206295,      -0.122785827757
        3.7688441259,      -0.122785827757
       5.65326618884,      -0.122785827757
       7.53768825179,      -0.122785827757
       9.42211031474,      -0.122785827757
       11.3065323777,      -0.122785827757
       13.1909544406,      -0.122785827757
       15.0753765036,      -0.122785827757
       16.9597985665,      -0.122785827757
       18.8442206295,      -0.122785827757
       20.7286426924,      -0.122785827757
       22.6130647554,      -0.122785827757
       24.4974868183,      -0.122785827757
       26.3819088813,      -0.122785827757
       28.2663309442,      -0.122785827757
       30.1507530072,      -0.122785827757
       32.0351750701,      -0.122785827757
       33.9195971331,      -0.122785827757
        35.804019196,      -0.122785827757
        37.688441259,      -0.122785827757
       39.5728633219,      -0.122785827757
       41.4572853849,      -0.122785827757
       43.3417074478,      -0.122785827757
       45.2261295108,      -0.122785827757
       47.1105515737,      -0.122785827757
       48.9949736367,      -0.122785827757
       50.8793956996,      -0.122785827757
       52.7638177626,      -0.122785827757
       54.6482398255,      -0.122785827757
       56.5326618884,      -0.122785827757
       58.4170839514,      -0.122785827757
       60.3015060143,      -0.122785827757
       62.1859280773,      -0.122785827757
       64.0703501402,      -0.122785827757
       65.9547722032,      -0.122785827757
       67.8391942661,      -0.122785827757
       69.7236163291,      -0.122785827757
        71.608038392,      -0.122785827757
        73.492460455,      -0.122785827757
       75.3768825179,      -0.122785827757
       77.2613045809,      -0.122785827757
       79.1457266438,      -0.122785827757
       81.0301487068,      -0.122785827757
       82.9145707697,      -0.122785827757
       84.7989928327,      -0.122785827757
       86.6834148956,      -0.122785827757
       88.5678369586,      -0.122785827757
       90.4522590215,      -0.122785827757
       92.3366810845,      -0.122785827757
       94.2211031474,      -0.122785827757
       96.1055252104,      -0.122785827757
       97.9899472733,      -0.122785827757
       99.8743693363,      -0.122785827757
       101.758791399,      -0.122785827757
       103.643213462,      -0.122785827757
       105.527635525,      -0.122785827757
       107.412057588,      -0.122785827757
       109.296479651,      -0.122785827757
       111.180901714,      -0.122785827757
       113.065323777,      -0.122785827757
        114.94974584,      -0.122785827757
       116.834167903,      -0.122785827757
       118.718589966,      -0.122785827757
       120.603012029,      -0.122785827757
       122.487434092,      -0.122785827757
       124.371856155,      -0.122785827757
       126.256278218,      -0.122785827757
        128.14070028,      -0.122785827757
       130.025122343,      -0.122785827757
       131.909544406,      -0.122785827757
       133.793966469,      -0.122785827757
       135.678388532,      -0.122785827757
       137.562810595,      -0.122785827757
       139.447232658,      -0.122785827757
       141.331654721,      -0.122785827757
       143.216076784,      -0.122785827757
       145.100498847,      -0.122785827757
        146.98492091,      -0.122785827757
       148.869342973,      -0.122785827757
       150.753765036,      -0.122785827757
       152.638187099,      -0.122785827757
       154.522609162,      -0.122785827757
       156.407031225,      -0.122785827757
       158.291453288,      -0.122785827757
       160.175875351,      -0.122785827757
       162.060297414,      -0.122785827757
       163.944719476,      -0.122785827757
       165.829141539,      -0.122785827757
       167.713563602,      -0.122785827757
       169.597985665,      -0.122785827757
       171.482407728,      -0.122785827757
       173.366829791,      -0.122785827757
       175.251251854,      -0.122785827757
       177.135673917,      -0.122785827757
        179.02009598,      -0.122785827757
       180.904518043,      -0.122785827757
       182.788940106,      -0.122785827757
       184.673362169,      -0.122785827757
       186.557784232,      -0.122785827757
       188.442206295,      -0.122785827757
       190.326628358,      -0.122785827757
       192.211050421,      -0.122785827757
       194.095472484,      -0.122785827757
       195.979894547,      -0.122785827757
        197.86431661,      -0.122785827757
       199.748738673,      -0.122785827757
       201.633160735,      -0.122785827757
       203.517582798,      -0.122785827757
       205.402004861,      -0.122785827757
       207.286426924,      -0.122785827757
       209.170848987,      -0.122785827757
        211.05527105,      -0.122785827757
       212.939693113,      -0.122785827757
       214.824115176,      -0.122785827757
       216.708537239,      -0.122785827757
       218.592959302,      -0.122785827757
       220.477381365,      -0.122785827757
       222.361803428,      -0.122785827757
       224.246225491,      -0.122785827757
       226.130647554,      -0.122785827757
       228.015069617,      -0.122785827757
        229.89949168,      -0.122785827757
       231.783913743,      -0.122785827757
       233.668335806,      -0.122785827757
       235.552757869,      -0.122785827757
       237.437179931,      -0.122785827757
       239.321601994,      -0.122785827757
       241.206024057,      -0.122785827757
        243.09044612,      -0.122785827757
       244.974868183,      -0.122785827757
       246.859290246,      -0.122785827757
       248.743712309,      -0.122785827757
       250.628134372,      -0.122785827757
       252.512556435,      -0.122785827757
       254.396978498,      -0.122785827757
       256.281400561,      -0.122785827757
       258.165822624,      -0.122785827757
       260.050244687,      -0.122785827757
        261.93466675,      -0.122785827757
       263.819088813,      -0.122785827757
       265.703510876,      -0.122785827757
       267.587932939,      -0.122785827757
       269.472355002,      -0.122785827757
       271.356777065,      -0.122785827757
       273.241199127,      -0.122785827757
        275.12562119,      -0.122785827757
       277.010043253,      -0.122785827757
       278.894465316,      -0.122785827757
       280.778887379,      -0.122785827757
       282.663309442,      -0.122785827757
       284.547731505,      -0.122785827757
       286.432153568,      -0.122785827757
       288.316575631,      -0.122785827757
       290.200997694,      -0.122785827757
       292.085419757,      -0.122785827757
        293.96984182,      -0.122785827757
       295.854263883,      -0.122785827757
       297.738685946,      -0.122785827757
       299.623108009,      -0.122785827757
       301.507530072,      -0.122785827757
       303.391952135,      -0.122785827757
       305.276374198,      -0.122785827757
       307.160796261,      -0.122785827757
       309.045218324,      -0.122785827757
       310.929640386,      -0.122785827757
       312.814062449,      -0.122785827757
       314.698484512,      -0.122785827757
       316.582906575,      -0.122785827757
