------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electrostatic Potential (V)
                   0,      -0.424412773384
       1.88442206295,      -0.424412773384
        3.7688441259,      -0.424412773384
       5.65326618884,      -0.424412773384
       7.53768825179,      -0.424412773384
       9.42211031474,      -0.424412773384
       11.3065323777,      -0.424412773384
       13.1909544406,      -0.424412773384
       15.0753765036,      -0.424412773384
       16.9597985665,      -0.424412773384
       18.8442206295,      -0.424412773384
       20.7286426924,      -0.424412773384
       22.6130647554,      -0.424412773384
       24.4974868183,      -0.424412773384
       26.3819088813,      -0.424412773384
       28.2663309442,      -0.424412773384
       30.1507530072,      -0.424412773384
       32.0351750701,      -0.424412773384
       33.9195971331,      -0.424412773384
        35.804019196,      -0.424412773384
        37.688441259,      -0.424412773384
       39.5728633219,      -0.424412773384
       41.4572853849,      -0.424412773384
       43.3417074478,      -0.424412773384
       45.2261295108,      -0.424412773384
       47.1105515737,      -0.424412773384
       48.9949736367,      -0.424412773384
       50.8793956996,      -0.424412773384
       52.7638177626,      -0.424412773384
       54.6482398255,      -0.424412773384
       56.5326618884,      -0.424412773384
       58.4170839514,      -0.424412773384
       60.3015060143,      -0.424412773384
       62.1859280773,      -0.424412773384
       64.0703501402,      -0.424412773384
       65.9547722032,      -0.424412773384
       67.8391942661,      -0.424412773384
       69.7236163291,      -0.424412773384
        71.608038392,      -0.424412773384
        73.492460455,      -0.424412773384
       75.3768825179,      -0.424412773384
       77.2613045809,      -0.424412773384
       79.1457266438,      -0.424412773384
       81.0301487068,      -0.424412773384
       82.9145707697,      -0.424412773384
       84.7989928327,      -0.424412773384
       86.6834148956,      -0.424412773384
       88.5678369586,      -0.424412773384
       90.4522590215,      -0.424412773384
       92.3366810845,      -0.424412773384
       94.2211031474,      -0.424412773384
       96.1055252104,      -0.424412773384
       97.9899472733,      -0.424412773384
       99.8743693363,      -0.424412773384
       101.758791399,      -0.424412773384
       103.643213462,      -0.424412773384
       105.527635525,      -0.424412773384
       107.412057588,      -0.424412773384
       109.296479651,      -0.424412773384
       111.180901714,      -0.424412773384
       113.065323777,      -0.424412773384
        114.94974584,      -0.424412773384
       116.834167903,      -0.424412773384
       118.718589966,      -0.424412773384
       120.603012029,      -0.424412773384
       122.487434092,      -0.424412773384
       124.371856155,      -0.424412773384
       126.256278218,      -0.424412773384
        128.14070028,      -0.424412773384
       130.025122343,      -0.424412773384
       131.909544406,      -0.424412773384
       133.793966469,      -0.424412773384
       135.678388532,      -0.424412773384
       137.562810595,      -0.424412773384
       139.447232658,      -0.424412773384
       141.331654721,      -0.424412773384
       143.216076784,      -0.424412773384
       145.100498847,      -0.424412773384
        146.98492091,      -0.424412773384
       148.869342973,      -0.424412773384
       150.753765036,      -0.424412773384
       152.638187099,      -0.424412773384
       154.522609162,      -0.424412773384
       156.407031225,      -0.424412773384
       158.291453288,      -0.424412773384
       160.175875351,      -0.424412773384
       162.060297414,      -0.424412773384
       163.944719476,      -0.424412773384
       165.829141539,      -0.424412773384
       167.713563602,      -0.424412773384
       169.597985665,      -0.424412773384
       171.482407728,      -0.424412773384
       173.366829791,      -0.424412773384
       175.251251854,      -0.424412773384
       177.135673917,      -0.424412773384
        179.02009598,      -0.424412773384
       180.904518043,      -0.424412773384
       182.788940106,      -0.424412773384
       184.673362169,      -0.424412773384
       186.557784232,      -0.424412773384
       188.442206295,      -0.424412773384
       190.326628358,      -0.424412773384
       192.211050421,      -0.424412773384
       194.095472484,      -0.424412773384
       195.979894547,      -0.424412773384
        197.86431661,      -0.424412773384
       199.748738673,      -0.424412773384
       201.633160735,      -0.424412773384
       203.517582798,      -0.424412773384
       205.402004861,      -0.424412773384
       207.286426924,      -0.424412773384
       209.170848987,      -0.424412773384
        211.05527105,      -0.424412773384
       212.939693113,      -0.424412773384
       214.824115176,      -0.424412773384
       216.708537239,      -0.424412773384
       218.592959302,      -0.424412773384
       220.477381365,      -0.424412773384
       222.361803428,      -0.424412773384
       224.246225491,      -0.424412773384
       226.130647554,      -0.424412773384
       228.015069617,      -0.424412773384
        229.89949168,      -0.424412773384
       231.783913743,      -0.424412773384
       233.668335806,      -0.424412773384
       235.552757869,      -0.424412773384
       237.437179931,      -0.424412773384
       239.321601994,      -0.424412773384
       241.206024057,      -0.424412773384
        243.09044612,      -0.424412773384
       244.974868183,      -0.424412773384
       246.859290246,      -0.424412773384
       248.743712309,      -0.424412773384
       250.628134372,      -0.424412773384
       252.512556435,      -0.424412773384
       254.396978498,      -0.424412773384
       256.281400561,      -0.424412773384
       258.165822624,      -0.424412773384
       260.050244687,      -0.424412773384
        261.93466675,      -0.424412773384
       263.819088813,      -0.424412773384
       265.703510876,      -0.424412773384
       267.587932939,      -0.424412773384
       269.472355002,      -0.424412773384
       271.356777065,      -0.424412773384
       273.241199127,      -0.424412773384
        275.12562119,      -0.424412773384
       277.010043253,      -0.424412773384
       278.894465316,      -0.424412773384
       280.778887379,      -0.424412773384
       282.663309442,      -0.424412773384
       284.547731505,      -0.424412773384
       286.432153568,      -0.424412773384
       288.316575631,      -0.424412773384
       290.200997694,      -0.424412773384
       292.085419757,      -0.424412773384
        293.96984182,      -0.424412773384
       295.854263883,      -0.424412773384
       297.738685946,      -0.424412773384
       299.623108009,      -0.424412773384
       301.507530072,      -0.424412773384
       303.391952135,      -0.424412773384
       305.276374198,      -0.424412773384
       307.160796261,      -0.424412773384
       309.045218324,      -0.424412773384
       310.929640386,      -0.424412773384
       312.814062449,      -0.424412773384
       314.698484512,      -0.424412773384
       316.582906575,      -0.424412773384
