------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Total Current (A)
                   0,        0.079955841438704
       1.88442206295,        0.079955841438704
        3.7688441259,        0.079955841438704
       5.65326618884,        0.079955841438704
       7.53768825179,        0.079955841438704
       9.42211031474,        0.079955841438704
       11.3065323777,        0.079955841438704
       13.1909544406,        0.079955841438704
       15.0753765036,        0.079955841438704
       16.9597985665,        0.079955841438704
       18.8442206295,        0.079955841438704
       20.7286426924,        0.079955841438704
       22.6130647554,        0.079955841438704
       24.4974868183,        0.079955841438704
       26.3819088813,        0.079955841438704
       28.2663309442,        0.079955841438704
       30.1507530072,        0.079955841438704
       32.0351750701,        0.079955841438704
       33.9195971331,        0.079955841438704
        35.804019196,        0.079955841438704
        37.688441259,        0.079955841438704
       39.5728633219,        0.079955841438704
       41.4572853849,        0.079955841438704
       43.3417074478,        0.079955841438704
       45.2261295108,        0.079955841438704
       47.1105515737,        0.079955841438704
       48.9949736367,        0.079955841438704
       50.8793956996,        0.079955841438704
       52.7638177626,        0.079955841438704
       54.6482398255,        0.079955841438704
       56.5326618884,        0.079955841438704
       58.4170839514,        0.079955841438704
       60.3015060143,        0.079955841438704
       62.1859280773,        0.079955841438704
       64.0703501402,        0.079955841438704
       65.9547722032,        0.079955841438704
       67.8391942661,        0.079955841438704
       69.7236163291,        0.079955841438704
        71.608038392,        0.079955841438704
        73.492460455,        0.079955841438704
       75.3768825179,        0.079955841438704
       77.2613045809,        0.079955841438704
       79.1457266438,        0.079955841438704
       81.0301487068,        0.079955841438704
       82.9145707697,        0.079955841438704
       84.7989928327,        0.079955841438704
       86.6834148956,        0.079955841438704
       88.5678369586,        0.079955841438704
       90.4522590215,        0.079955841438704
       92.3366810845,        0.079955841438704
       94.2211031474,        0.079955841438704
       96.1055252104,        0.079955841438704
       97.9899472733,        0.079955841438704
       99.8743693363,        0.079955841438704
       101.758791399,        0.079955841438704
       103.643213462,        0.079955841438704
       105.527635525,        0.079955841438704
       107.412057588,        0.079955841438704
       109.296479651,        0.079955841438704
       111.180901714,        0.079955841438704
       113.065323777,        0.079955841438704
        114.94974584,        0.079955841438704
       116.834167903,        0.079955841438704
       118.718589966,        0.079955841438704
       120.603012029,        0.079955841438704
       122.487434092,        0.079955841438704
       124.371856155,        0.079955841438704
       126.256278218,        0.079955841438704
        128.14070028,        0.079955841438704
       130.025122343,        0.079955841438704
       131.909544406,        0.079955841438704
       133.793966469,        0.079955841438704
       135.678388532,        0.079955841438704
       137.562810595,        0.079955841438704
       139.447232658,        0.079955841438704
       141.331654721,        0.079955841438704
       143.216076784,        0.079955841438704
       145.100498847,        0.079955841438704
        146.98492091,        0.079955841438704
       148.869342973,        0.079955841438704
       150.753765036,        0.079955841438704
       152.638187099,        0.079955841438704
       154.522609162,        0.079955841438704
       156.407031225,        0.079955841438704
       158.291453288,        0.079955841438704
       160.175875351,        0.079955841438704
       162.060297414,        0.079955841438704
       163.944719476,        0.079955841438704
       165.829141539,        0.079955841438704
       167.713563602,        0.079955841438704
       169.597985665,        0.079955841438704
       171.482407728,        0.079955841438704
       173.366829791,        0.079955841438704
       175.251251854,        0.079955841438704
       177.135673917,        0.079955841438704
        179.02009598,        0.079955841438704
       180.904518043,        0.079955841438704
       182.788940106,        0.079955841438704
       184.673362169,        0.079955841438704
       186.557784232,        0.079955841438704
       188.442206295,        0.079955841438704
       190.326628358,        0.079955841438704
       192.211050421,        0.079955841438704
       194.095472484,        0.079955841438704
       195.979894547,        0.079955841438704
        197.86431661,        0.079955841438704
       199.748738673,        0.079955841438704
       201.633160735,        0.079955841438704
       203.517582798,        0.079955841438704
       205.402004861,        0.079955841438704
       207.286426924,        0.079955841438704
       209.170848987,        0.079955841438704
        211.05527105,        0.079955841438704
       212.939693113,        0.079955841438704
       214.824115176,        0.079955841438704
       216.708537239,        0.079955841438704
       218.592959302,        0.079955841438704
       220.477381365,        0.079955841438704
       222.361803428,        0.079955841438704
       224.246225491,        0.079955841438704
       226.130647554,        0.079955841438704
       228.015069617,        0.079955841438704
        229.89949168,        0.079955841438704
       231.783913743,        0.079955841438704
       233.668335806,        0.079955841438704
       235.552757869,        0.079955841438704
       237.437179931,        0.079955841438704
       239.321601994,        0.079955841438704
       241.206024057,        0.079955841438704
        243.09044612,        0.079955841438704
       244.974868183,        0.079955841438704
       246.859290246,        0.079955841438704
       248.743712309,        0.079955841438704
       250.628134372,        0.079955841438704
       252.512556435,        0.079955841438704
       254.396978498,        0.079955841438704
       256.281400561,        0.079955841438704
       258.165822624,        0.079955841438704
       260.050244687,        0.079955841438704
        261.93466675,        0.079955841438704
       263.819088813,        0.079955841438704
       265.703510876,        0.079955841438704
       267.587932939,        0.079955841438704
       269.472355002,        0.079955841438704
       271.356777065,        0.079955841438704
       273.241199127,        0.079955841438704
        275.12562119,        0.079955841438704
       277.010043253,        0.079955841438704
       278.894465316,        0.079955841438704
       280.778887379,        0.079955841438704
       282.663309442,        0.079955841438704
       284.547731505,        0.079955841438704
       286.432153568,        0.079955841438704
       288.316575631,        0.079955841438704
       290.200997694,        0.079955841438704
       292.085419757,        0.079955841438704
        293.96984182,        0.079955841438704
       295.854263883,        0.079955841438704
       297.738685946,        0.079955841438704
       299.623108009,        0.079955841438704
       301.507530072,        0.079955841438704
       303.391952135,        0.079955841438704
       305.276374198,        0.079955841438704
       307.160796261,        0.079955841438704
       309.045218324,        0.079955841438704
       310.929640386,        0.079955841438704
       312.814062449,        0.079955841438704
       314.698484512,        0.079955841438704
