------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Quasi Fermi Level (eV)
                   0,                  0.8
       1.88442206295,       0.795979899497
        3.7688441259,       0.791959798995
       5.65326618884,       0.787939698492
       7.53768825179,        0.78391959799
       9.42211031474,       0.779899497487
       11.3065323777,       0.775879396985
       13.1909544406,       0.771859296482
       15.0753765036,        0.76783919598
       16.9597985665,       0.763819095477
       18.8442206295,       0.759798994975
       20.7286426924,       0.755778894472
       22.6130647554,        0.75175879397
       24.4974868183,       0.747738693467
       26.3819088813,       0.743718592965
       28.2663309442,       0.739698492462
       30.1507530072,        0.73567839196
       32.0351750701,       0.731658291457
       33.9195971331,       0.727638190955
        35.804019196,       0.723618090452
        37.688441259,        0.71959798995
       39.5728633219,       0.715577889447
       41.4572853849,       0.711557788945
       43.3417074478,       0.707537688442
       45.2261295108,        0.70351758794
       47.1105515737,       0.699497487437
       48.9949736367,       0.695477386935
       50.8793956996,       0.691457286432
       52.7638177626,        0.68743718593
       54.6482398255,       0.683417085427
       56.5326618884,       0.679396984925
       58.4170839514,       0.675376884422
       60.3015060143,        0.67135678392
       62.1859280773,       0.667336683417
       64.0703501402,       0.663316582915
       65.9547722032,       0.659296482412
       67.8391942661,        0.65527638191
       69.7236163291,       0.651256281407
        71.608038392,       0.647236180905
        73.492460455,       0.643216080402
       75.3768825179,       0.639195979899
       77.2613045809,       0.635175879397
       79.1457266438,       0.631155778894
       81.0301487068,       0.627135678392
       82.9145707697,       0.623115577889
       84.7989928327,       0.619095477387
       86.6834148956,       0.615075376884
       88.5678369586,       0.611055276382
       90.4522590215,       0.607035175879
       92.3366810845,       0.603015075377
       94.2211031474,       0.598994974874
       96.1055252104,       0.594974874372
       97.9899472733,       0.590954773869
       99.8743693363,       0.586934673367
       101.758791399,       0.582914572864
       103.643213462,       0.578894472362
       105.527635525,       0.574874371859
       107.412057588,       0.570854271357
       109.296479651,       0.566834170854
       111.180901714,       0.562814070352
       113.065323777,       0.558793969849
        114.94974584,       0.554773869347
       116.834167903,       0.550753768844
       118.718589966,       0.546733668342
       120.603012029,       0.542713567839
       122.487434092,       0.538693467337
       124.371856155,       0.534673366834
       126.256278218,       0.530653266332
        128.14070028,       0.526633165829
       130.025122343,       0.522613065327
       131.909544406,       0.518592964824
       133.793966469,       0.514572864322
       135.678388532,       0.510552763819
       137.562810595,       0.506532663317
       139.447232658,       0.502512562814
       141.331654721,       0.498492462312
       143.216076784,       0.494472361809
       145.100498847,       0.490452261307
        146.98492091,       0.486432160804
       148.869342973,       0.482412060302
       150.753765036,       0.478391959799
       152.638187099,       0.474371859296
       154.522609162,       0.470351758794
       156.407031225,       0.466331658291
       158.291453288,       0.462311557789
       160.175875351,       0.458291457286
       162.060297414,       0.454271356784
       163.944719476,       0.450251256281
       165.829141539,       0.446231155779
       167.713563602,       0.442211055276
       169.597985665,       0.438190954774
       171.482407728,       0.434170854271
       173.366829791,       0.430150753769
       175.251251854,       0.426130653266
       177.135673917,       0.422110552764
        179.02009598,       0.418090452261
       180.904518043,       0.414070351759
       182.788940106,       0.410050251256
       184.673362169,       0.406030150754
       186.557784232,       0.402010050251
       188.442206295,       0.397989949749
       190.326628358,       0.393969849246
       192.211050421,       0.389949748744
       194.095472484,       0.385929648241
       195.979894547,       0.381909547739
        197.86431661,       0.377889447236
       199.748738673,       0.373869346734
       201.633160735,       0.369849246231
       203.517582798,       0.365829145729
       205.402004861,       0.361809045226
       207.286426924,       0.357788944724
       209.170848987,       0.353768844221
        211.05527105,       0.349748743719
       212.939693113,       0.345728643216
       214.824115176,       0.341708542714
       216.708537239,       0.337688442211
       218.592959302,       0.333668341709
       220.477381365,       0.329648241206
       222.361803428,       0.325628140704
       224.246225491,       0.321608040201
       226.130647554,       0.317587939698
       228.015069617,       0.313567839196
        229.89949168,       0.309547738693
       231.783913743,       0.305527638191
       233.668335806,       0.301507537688
       235.552757869,       0.297487437186
       237.437179931,       0.293467336683
       239.321601994,       0.289447236181
       241.206024057,       0.285427135678
        243.09044612,       0.281407035176
       244.974868183,       0.277386934673
       246.859290246,       0.273366834171
       248.743712309,       0.269346733668
       250.628134372,       0.265326633166
       252.512556435,       0.261306532663
       254.396978498,       0.257286432161
       256.281400561,       0.253266331658
       258.165822624,       0.249246231156
       260.050244687,       0.245226130653
        261.93466675,       0.241206030151
       263.819088813,       0.237185929648
       265.703510876,       0.233165829146
       267.587932939,       0.229145728643
       269.472355002,       0.225125628141
       271.356777065,       0.221105527638
       273.241199127,       0.217085427136
        275.12562119,       0.213065326633
       277.010043253,       0.209045226131
       278.894465316,       0.205025125628
       280.778887379,       0.201005025126
       282.663309442,       0.196984924623
       284.547731505,       0.192964824121
       286.432153568,       0.188944723618
       288.316575631,       0.184924623116
       290.200997694,       0.180904522613
       292.085419757,       0.176884422111
        293.96984182,       0.172864321608
       295.854263883,       0.168844221106
       297.738685946,       0.164824120603
       299.623108009,       0.160804020101
       301.507530072,       0.156783919598
       303.391952135,       0.152763819095
       305.276374198,       0.148743718593
       307.160796261,        0.14472361809
       309.045218324,       0.140703517588
       310.929640386,       0.136683417085
       312.814062449,       0.132663316583
       314.698484512,        0.12864321608
       316.582906575,       0.124623115578
       318.467328638,       0.120603015075
       320.351750701,       0.116582914573
       322.236172764,        0.11256281407
       324.120594827,       0.108542713568
        326.00501689,       0.104522613065
       327.889438953,       0.100502512563
       329.773861016,      0.0964824120603
       331.658283079,      0.0924623115578
       333.542705142,      0.0884422110553
       335.427127205,      0.0844221105528
