------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
                   0,      -0.922785827757
       1.88442206295,      -0.918765727254
        3.7688441259,      -0.914745626752
       5.65326618884,      -0.910725526249
       7.53768825179,      -0.906705425747
       9.42211031474,      -0.902685325244
       11.3065323777,      -0.898665224742
       13.1909544406,      -0.894645124239
       15.0753765036,      -0.890625023737
       16.9597985665,      -0.886604923234
       18.8442206295,      -0.882584822732
       20.7286426924,      -0.878564722229
       22.6130647554,      -0.874544621726
       24.4974868183,      -0.870524521224
       26.3819088813,      -0.866504420721
       28.2663309442,      -0.862484320219
       30.1507530072,      -0.858464219716
       32.0351750701,      -0.854444119214
       33.9195971331,      -0.850424018711
        35.804019196,      -0.846403918209
        37.688441259,      -0.842383817706
       39.5728633219,      -0.838363717204
       41.4572853849,      -0.834343616701
       43.3417074478,      -0.830323516199
       45.2261295108,      -0.826303415696
       47.1105515737,      -0.822283315194
       48.9949736367,      -0.818263214691
       50.8793956996,      -0.814243114189
       52.7638177626,      -0.810223013686
       54.6482398255,      -0.806202913184
       56.5326618884,      -0.802182812681
       58.4170839514,      -0.798162712179
       60.3015060143,      -0.794142611676
       62.1859280773,      -0.790122511174
       64.0703501402,      -0.786102410671
       65.9547722032,      -0.782082310169
       67.8391942661,      -0.778062209666
       69.7236163291,      -0.774042109164
        71.608038392,      -0.770022008661
        73.492460455,      -0.766001908159
       75.3768825179,      -0.761981807656
       77.2613045809,      -0.757961707154
       79.1457266438,      -0.753941606651
       81.0301487068,      -0.749921506149
       82.9145707697,      -0.745901405646
       84.7989928327,      -0.741881305144
       86.6834148956,      -0.737861204641
       88.5678369586,      -0.733841104139
       90.4522590215,      -0.729821003636
       92.3366810845,      -0.725800903134
       94.2211031474,      -0.721780802631
       96.1055252104,      -0.717760702128
       97.9899472733,      -0.713740601626
       99.8743693363,      -0.709720501123
       101.758791399,      -0.705700400621
       103.643213462,      -0.701680300118
       105.527635525,      -0.697660199616
       107.412057588,      -0.693640099113
       109.296479651,      -0.689619998611
       111.180901714,      -0.685599898108
       113.065323777,      -0.681579797606
        114.94974584,      -0.677559697103
       116.834167903,      -0.673539596601
       118.718589966,      -0.669519496098
       120.603012029,      -0.665499395596
       122.487434092,      -0.661479295093
       124.371856155,      -0.657459194591
       126.256278218,      -0.653439094088
        128.14070028,      -0.649418993586
       130.025122343,      -0.645398893083
       131.909544406,      -0.641378792581
       133.793966469,      -0.637358692078
       135.678388532,      -0.633338591576
       137.562810595,      -0.629318491073
       139.447232658,      -0.625298390571
       141.331654721,      -0.621278290068
       143.216076784,      -0.617258189566
       145.100498847,      -0.613238089063
        146.98492091,      -0.609217988561
       148.869342973,      -0.605197888058
       150.753765036,      -0.601177787556
       152.638187099,      -0.597157687053
       154.522609162,      -0.593137586551
       156.407031225,      -0.589117486048
       158.291453288,      -0.585097385546
       160.175875351,      -0.581077285043
       162.060297414,      -0.577057184541
       163.944719476,      -0.573037084038
       165.829141539,      -0.569016983536
       167.713563602,      -0.564996883033
       169.597985665,       -0.56097678253
       171.482407728,      -0.556956682028
       173.366829791,      -0.552936581525
       175.251251854,      -0.548916481023
       177.135673917,       -0.54489638052
        179.02009598,      -0.540876280018
       180.904518043,      -0.536856179515
       182.788940106,      -0.532836079013
       184.673362169,       -0.52881597851
       186.557784232,      -0.524795878008
       188.442206295,      -0.520775777505
       190.326628358,      -0.516755677003
       192.211050421,        -0.5127355765
       194.095472484,      -0.508715475998
       195.979894547,      -0.504695375495
        197.86431661,      -0.500675274993
       199.748738673,       -0.49665517449
       201.633160735,      -0.492635073988
       203.517582798,      -0.488614973485
       205.402004861,      -0.484594872983
       207.286426924,       -0.48057477248
       209.170848987,      -0.476554671978
        211.05527105,      -0.472534571475
       212.939693113,      -0.468514470973
       214.824115176,       -0.46449437047
       216.708537239,      -0.460474269968
       218.592959302,      -0.456454169465
       220.477381365,      -0.452434068963
       222.361803428,       -0.44841396846
       224.246225491,      -0.444393867958
       226.130647554,      -0.440373767455
       228.015069617,      -0.436353666953
        229.89949168,       -0.43233356645
       231.783913743,      -0.428313465948
       233.668335806,      -0.424293365445
       235.552757869,      -0.420273264943
       237.437179931,       -0.41625316444
       239.321601994,      -0.412233063938
       241.206024057,      -0.408212963435
        243.09044612,      -0.404192862933
       244.974868183,       -0.40017276243
       246.859290246,      -0.396152661927
       248.743712309,      -0.392132561425
       250.628134372,      -0.388112460922
       252.512556435,       -0.38409236042
       254.396978498,      -0.380072259917
       256.281400561,      -0.376052159415
       258.165822624,      -0.372032058912
       260.050244687,       -0.36801195841
        261.93466675,      -0.363991857907
       263.819088813,      -0.359971757405
       265.703510876,      -0.355951656902
       267.587932939,        -0.3519315564
       269.472355002,      -0.347911455897
       271.356777065,      -0.343891355395
       273.241199127,      -0.339871254892
        275.12562119,       -0.33585115439
       277.010043253,      -0.331831053887
       278.894465316,      -0.327810953385
       280.778887379,      -0.323790852882
       282.663309442,       -0.31977075238
       284.547731505,      -0.315750651877
       286.432153568,      -0.311730551375
       288.316575631,      -0.307710450872
       290.200997694,       -0.30369035037
       292.085419757,      -0.299670249867
        293.96984182,      -0.295650149365
       295.854263883,      -0.291630048862
       297.738685946,       -0.28760994836
       299.623108009,      -0.283589847857
       301.507530072,      -0.279569747355
       303.391952135,      -0.275549646852
       305.276374198,       -0.27152954635
       307.160796261,      -0.267509445847
       309.045218324,      -0.263489345345
       310.929640386,      -0.259469244842
       312.814062449,       -0.25544914434
       314.698484512,      -0.251429043837
       316.582906575,      -0.247408943335
       318.467328638,      -0.243388842832
       320.351750701,      -0.239368742329
       322.236172764,      -0.235348641827
       324.120594827,      -0.231328541324
        326.00501689,      -0.227308440822
       327.889438953,      -0.223288340319
       329.773861016,      -0.219268239817
       331.658283079,      -0.215248139314
       333.542705142,      -0.211228038812
       335.427127205,      -0.207207938309
       337.311549268,      -0.203187837807
       339.195971331,      -0.199167737304
       341.080393394,      -0.195147636802
       342.964815457,      -0.191127536299
        344.84923752,      -0.187107435797
       346.733659582,      -0.183087335294
       348.618081645,      -0.179067234792
       350.502503708,      -0.175047134289
       352.386925771,      -0.171027033787
       354.271347834,      -0.167006933284
       356.155769897,      -0.162986832782
        358.04019196,      -0.158966732279
       359.924614023,      -0.154946631777
       361.809036086,      -0.150926531274
       363.693458149,      -0.146906430772
       365.577880212,      -0.142886330269
       367.462302275,      -0.138866229767
       369.346724338,      -0.134846129264
       371.231146401,      -0.130826028762
       373.115568464,      -0.126805928259
       374.999990527,      -0.122785827757

