------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
                   0,       0.197214172243
       1.88442206295,       0.201234272746
        3.7688441259,       0.205254373248
       5.65326618884,       0.209274473751
       7.53768825179,       0.213294574253
       9.42211031474,       0.217314674756
       11.3065323777,       0.221334775258
       13.1909544406,       0.225354875761
       15.0753765036,       0.229374976263
       16.9597985665,       0.233395076766
       18.8442206295,       0.237415177269
       20.7286426924,       0.241435277771
       22.6130647554,       0.245455378274
       24.4974868183,       0.249475478776
       26.3819088813,       0.253495579279
       28.2663309442,       0.257515679781
       30.1507530072,       0.261535780284
       32.0351750701,       0.265555880786
       33.9195971331,       0.269575981289
        35.804019196,       0.273596081791
        37.688441259,       0.277616182294
       39.5728633219,       0.281636282796
       41.4572853849,       0.285656383299
       43.3417074478,       0.289676483801
       45.2261295108,       0.293696584304
       47.1105515737,       0.297716684806
       48.9949736367,       0.301736785309
       50.8793956996,       0.305756885811
       52.7638177626,       0.309776986314
       54.6482398255,       0.313797086816
       56.5326618884,       0.317817187319
       58.4170839514,       0.321837287821
       60.3015060143,       0.325857388324
       62.1859280773,       0.329877488826
       64.0703501402,       0.333897589329
       65.9547722032,       0.337917689831
       67.8391942661,       0.341937790334
       69.7236163291,       0.345957890836
        71.608038392,       0.349977991339
        73.492460455,       0.353998091841
       75.3768825179,       0.358018192344
       77.2613045809,       0.362038292846
       79.1457266438,       0.366058393349
       81.0301487068,       0.370078493851
       82.9145707697,       0.374098594354
       84.7989928327,       0.378118694856
       86.6834148956,       0.382138795359
       88.5678369586,       0.386158895861
       90.4522590215,       0.390178996364
       92.3366810845,       0.394199096866
       94.2211031474,       0.398219197369
       96.1055252104,       0.402239297872
       97.9899472733,       0.406259398374
       99.8743693363,       0.410279498877
       101.758791399,       0.414299599379
       103.643213462,       0.418319699882
       105.527635525,       0.422339800384
       107.412057588,       0.426359900887
       109.296479651,       0.430380001389
       111.180901714,       0.434400101892
       113.065323777,       0.438420202394
        114.94974584,       0.442440302897
       116.834167903,       0.446460403399
       118.718589966,       0.450480503902
       120.603012029,       0.454500604404
       122.487434092,       0.458520704907
       124.371856155,       0.462540805409
       126.256278218,       0.466560905912
        128.14070028,       0.470581006414
       130.025122343,       0.474601106917
       131.909544406,       0.478621207419
       133.793966469,       0.482641307922
       135.678388532,       0.486661408424
       137.562810595,       0.490681508927
       139.447232658,       0.494701609429
       141.331654721,       0.498721709932
       143.216076784,       0.502741810434
       145.100498847,       0.506761910937
        146.98492091,       0.510782011439
       148.869342973,       0.514802111942
       150.753765036,       0.518822212444
       152.638187099,       0.522842312947
       154.522609162,       0.526862413449
       156.407031225,       0.530882513952
       158.291453288,       0.534902614454
       160.175875351,       0.538922714957
       162.060297414,       0.542942815459
       163.944719476,       0.546962915962
       165.829141539,       0.550983016464
       167.713563602,       0.555003116967
       169.597985665,        0.55902321747
       171.482407728,       0.563043317972
       173.366829791,       0.567063418475
       175.251251854,       0.571083518977
       177.135673917,        0.57510361948
        179.02009598,       0.579123719982
       180.904518043,       0.583143820485
       182.788940106,       0.587163920987
       184.673362169,        0.59118402149
       186.557784232,       0.595204121992
       188.442206295,       0.599224222495
       190.326628358,       0.603244322997
       192.211050421,         0.6072644235
       194.095472484,       0.611284524002
       195.979894547,       0.615304624505
        197.86431661,       0.619324725007
       199.748738673,        0.62334482551
       201.633160735,       0.627364926012
       203.517582798,       0.631385026515
       205.402004861,       0.635405127017
       207.286426924,        0.63942522752
       209.170848987,       0.643445328022
        211.05527105,       0.647465428525
       212.939693113,       0.651485529027
       214.824115176,        0.65550562953
       216.708537239,       0.659525730032
       218.592959302,       0.663545830535
       220.477381365,       0.667565931037
       222.361803428,        0.67158603154
       224.246225491,       0.675606132042
       226.130647554,       0.679626232545
       228.015069617,       0.683646333047
        229.89949168,        0.68766643355
       231.783913743,       0.691686534052
       233.668335806,       0.695706634555
       235.552757869,       0.699726735057
       237.437179931,        0.70374683556
       239.321601994,       0.707766936062
       241.206024057,       0.711787036565
        243.09044612,       0.715807137067
       244.974868183,        0.71982723757
       246.859290246,       0.723847338073
       248.743712309,       0.727867438575
       250.628134372,       0.731887539078
       252.512556435,        0.73590763958
       254.396978498,       0.739927740083
       256.281400561,       0.743947840585
       258.165822624,       0.747967941088
       260.050244687,        0.75198804159
        261.93466675,       0.756008142093
       263.819088813,       0.760028242595
       265.703510876,       0.764048343098
       267.587932939,         0.7680684436
       269.472355002,       0.772088544103
       271.356777065,       0.776108644605
       273.241199127,       0.780128745108
        275.12562119,        0.78414884561
       277.010043253,       0.788168946113
       278.894465316,       0.792189046615
       280.778887379,       0.796209147118
       282.663309442,        0.80022924762
       284.547731505,       0.804249348123
       286.432153568,       0.808269448625
       288.316575631,       0.812289549128
       290.200997694,        0.81630964963
       292.085419757,       0.820329750133
        293.96984182,       0.824349850635
       295.854263883,       0.828369951138
       297.738685946,        0.83239005164
       299.623108009,       0.836410152143
       301.507530072,       0.840430252645
       303.391952135,       0.844450353148
       305.276374198,        0.84847045365
       307.160796261,       0.852490554153
       309.045218324,       0.856510654655
       310.929640386,       0.860530755158
       312.814062449,        0.86455085566
       314.698484512,       0.868570956163
       316.582906575,       0.872591056665
       318.467328638,       0.876611157168
       320.351750701,       0.880631257671
       322.236172764,       0.884651358173
       324.120594827,       0.888671458676
        326.00501689,       0.892691559178
       327.889438953,       0.896711659681
       329.773861016,       0.900731760183
       331.658283079,       0.904751860686
       333.542705142,       0.908771961188
       335.427127205,       0.912792061691
