------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Quasi Fermi Level (eV)
                   0,    9.18412042522e-17
       1.88442206295,     0.00402010050251
        3.7688441259,     0.00804020100503
       5.65326618884,      0.0120603015075
       7.53768825179,      0.0160804020101
       9.42211031474,      0.0201005025126
       11.3065323777,      0.0241206030151
       13.1909544406,      0.0281407035176
       15.0753765036,      0.0321608040201
       16.9597985665,      0.0361809045226
       18.8442206295,      0.0402010050251
       20.7286426924,      0.0442211055276
       22.6130647554,      0.0482412060302
       24.4974868183,      0.0522613065327
       26.3819088813,      0.0562814070352
       28.2663309442,      0.0603015075377
       30.1507530072,      0.0643216080402
       32.0351750701,      0.0683417085427
       33.9195971331,      0.0723618090452
        35.804019196,      0.0763819095477
        37.688441259,      0.0804020100503
       39.5728633219,      0.0844221105528
       41.4572853849,      0.0884422110553
       43.3417074478,      0.0924623115578
       45.2261295108,      0.0964824120603
       47.1105515737,       0.100502512563
       48.9949736367,       0.104522613065
       50.8793956996,       0.108542713568
       52.7638177626,        0.11256281407
       54.6482398255,       0.116582914573
       56.5326618884,       0.120603015075
       58.4170839514,       0.124623115578
       60.3015060143,        0.12864321608
       62.1859280773,       0.132663316583
       64.0703501402,       0.136683417085
       65.9547722032,       0.140703517588
       67.8391942661,        0.14472361809
       69.7236163291,       0.148743718593
        71.608038392,       0.152763819095
        73.492460455,       0.156783919598
       75.3768825179,       0.160804020101
       77.2613045809,       0.164824120603
       79.1457266438,       0.168844221106
       81.0301487068,       0.172864321608
       82.9145707697,       0.176884422111
       84.7989928327,       0.180904522613
       86.6834148956,       0.184924623116
       88.5678369586,       0.188944723618
       90.4522590215,       0.192964824121
       92.3366810845,       0.196984924623
       94.2211031474,       0.201005025126
       96.1055252104,       0.205025125628
       97.9899472733,       0.209045226131
       99.8743693363,       0.213065326633
       101.758791399,       0.217085427136
       103.643213462,       0.221105527638
       105.527635525,       0.225125628141
       107.412057588,       0.229145728643
       109.296479651,       0.233165829146
       111.180901714,       0.237185929648
       113.065323777,       0.241206030151
        114.94974584,       0.245226130653
       116.834167903,       0.249246231156
       118.718589966,       0.253266331658
       120.603012029,       0.257286432161
       122.487434092,       0.261306532663
       124.371856155,       0.265326633166
       126.256278218,       0.269346733668
        128.14070028,       0.273366834171
       130.025122343,       0.277386934673
       131.909544406,       0.281407035176
       133.793966469,       0.285427135678
       135.678388532,       0.289447236181
       137.562810595,       0.293467336683
       139.447232658,       0.297487437186
       141.331654721,       0.301507537688
       143.216076784,       0.305527638191
       145.100498847,       0.309547738693
        146.98492091,       0.313567839196
       148.869342973,       0.317587939698
       150.753765036,       0.321608040201
       152.638187099,       0.325628140704
       154.522609162,       0.329648241206
       156.407031225,       0.333668341709
       158.291453288,       0.337688442211
       160.175875351,       0.341708542714
       162.060297414,       0.345728643216
       163.944719476,       0.349748743719
       165.829141539,       0.353768844221
       167.713563602,       0.357788944724
       169.597985665,       0.361809045226
       171.482407728,       0.365829145729
       173.366829791,       0.369849246231
       175.251251854,       0.373869346734
       177.135673917,       0.377889447236
        179.02009598,       0.381909547739
       180.904518043,       0.385929648241
       182.788940106,       0.389949748744
       184.673362169,       0.393969849246
       186.557784232,       0.397989949749
       188.442206295,       0.402010050251
       190.326628358,       0.406030150754
       192.211050421,       0.410050251256
       194.095472484,       0.414070351759
       195.979894547,       0.418090452261
        197.86431661,       0.422110552764
       199.748738673,       0.426130653266
       201.633160735,       0.430150753769
       203.517582798,       0.434170854271
       205.402004861,       0.438190954774
       207.286426924,       0.442211055276
       209.170848987,       0.446231155779
        211.05527105,       0.450251256281
       212.939693113,       0.454271356784
       214.824115176,       0.458291457286
       216.708537239,       0.462311557789
       218.592959302,       0.466331658291
       220.477381365,       0.470351758794
       222.361803428,       0.474371859296
       224.246225491,       0.478391959799
       226.130647554,       0.482412060302
       228.015069617,       0.486432160804
        229.89949168,       0.490452261307
       231.783913743,       0.494472361809
       233.668335806,       0.498492462312
       235.552757869,       0.502512562814
       237.437179931,       0.506532663317
       239.321601994,       0.510552763819
       241.206024057,       0.514572864322
        243.09044612,       0.518592964824
       244.974868183,       0.522613065327
       246.859290246,       0.526633165829
       248.743712309,       0.530653266332
       250.628134372,       0.534673366834
       252.512556435,       0.538693467337
       254.396978498,       0.542713567839
       256.281400561,       0.546733668342
       258.165822624,       0.550753768844
       260.050244687,       0.554773869347
        261.93466675,       0.558793969849
       263.819088813,       0.562814070352
       265.703510876,       0.566834170854
       267.587932939,       0.570854271357
       269.472355002,       0.574874371859
       271.356777065,       0.578894472362
       273.241199127,       0.582914572864
        275.12562119,       0.586934673367
       277.010043253,       0.590954773869
       278.894465316,       0.594974874372
       280.778887379,       0.598994974874
       282.663309442,       0.603015075377
       284.547731505,       0.607035175879
       286.432153568,       0.611055276382
       288.316575631,       0.615075376884
       290.200997694,       0.619095477387
       292.085419757,       0.623115577889
        293.96984182,       0.627135678392
       295.854263883,       0.631155778894
       297.738685946,       0.635175879397
       299.623108009,       0.639195979899
       301.507530072,       0.643216080402
       303.391952135,       0.647236180905
       305.276374198,       0.651256281407
       307.160796261,        0.65527638191
       309.045218324,       0.659296482412
       310.929640386,       0.663316582915
       312.814062449,       0.667336683417
       314.698484512,        0.67135678392
       316.582906575,       0.675376884422
       318.467328638,       0.679396984925
       320.351750701,       0.683417085427
       322.236172764,        0.68743718593
       324.120594827,       0.691457286432
        326.00501689,       0.695477386935
       327.889438953,       0.699497487437
       329.773861016,        0.70351758794
       331.658283079,       0.707537688442
       333.542705142,       0.711557788945
       335.427127205,       0.715577889447
       337.311549268,        0.71959798995
       339.195971331,       0.723618090452
       341.080393394,       0.727638190955
       342.964815457,       0.731658291457
        344.84923752,        0.73567839196
       346.733659582,       0.739698492462
       348.618081645,       0.743718592965
       350.502503708,       0.747738693467
       352.386925771,        0.75175879397
       354.271347834,       0.755778894472
       356.155769897,       0.759798994975
        358.04019196,       0.763819095477
       359.924614023,        0.76783919598
       361.809036086,       0.771859296482
       363.693458149,       0.775879396985
       365.577880212,       0.779899497487
       367.462302275,        0.78391959799
       369.346724338,       0.787939698492
       371.231146401,       0.791959798995
       373.115568464,       0.795979899497
       374.999990527,                  0.8

