------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       267.587932939,       -21.3333338723
       269.472355002,       -21.3333338723
       271.356777065,       -21.3333338723
       273.241199127,       -21.3333338723
        275.12562119,       -21.3333338723
       277.010043253,       -21.3333338723
       278.894465316,       -21.3333338723
       280.778887379,       -21.3333338723
       282.663309442,       -21.3333338723
       284.547731505,       -21.3333338723
       286.432153568,       -21.3333338723
       288.316575631,       -21.3333338723
       290.200997694,       -21.3333338723
       292.085419757,       -21.3333338723
        293.96984182,       -21.3333338723
       295.854263883,       -21.3333338723
       297.738685946,       -21.3333338723
       299.623108009,       -21.3333338723
       301.507530072,       -21.3333338723
       303.391952135,       -21.3333338723
       305.276374198,       -21.3333338723
       307.160796261,       -21.3333338723
       309.045218324,       -21.3333338723
       310.929640386,       -21.3333338723
       312.814062449,       -21.3333338723
       314.698484512,       -21.3333338723
       316.582906575,       -21.3333338723
       318.467328638,       -21.3333338723
       320.351750701,       -21.3333338723
       322.236172764,       -21.3333338723
       324.120594827,       -21.3333338723
        326.00501689,       -21.3333338723
       327.889438953,       -21.3333338723
       329.773861016,       -21.3333338723
       331.658283079,       -21.3333338723
       333.542705142,       -21.3333338723
       335.427127205,       -21.3333338723
       337.311549268,       -21.3333338723
       339.195971331,       -21.3333338723
       341.080393394,       -21.3333338723
       342.964815457,       -21.3333338723
        344.84923752,       -21.3333338723
       346.733659582,       -21.3333338723
       348.618081645,       -21.3333338723
       350.502503708,       -21.3333338723
       352.386925771,       -21.3333338723
       354.271347834,       -21.3333338723
       356.155769897,       -21.3333338723
        358.04019196,       -21.3333338723
       359.924614023,       -21.3333338723
       361.809036086,       -21.3333338723
       363.693458149,       -21.3333338723
       365.577880212,       -21.3333338723
       367.462302275,       -21.3333338723
       369.346724338,       -21.3333338723
       371.231146401,       -21.3333338723
       373.115568464,       -21.3333338723
       374.999990527,       -21.3333338723

