------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
       133.793966469,      -0.408212963435
       135.678388532,      -0.412233063938
       137.562810595,       -0.41625316444
       139.447232658,      -0.420273264943
       141.331654721,      -0.424293365445
       143.216076784,      -0.428313465948
       145.100498847,       -0.43233356645
        146.98492091,      -0.436353666953
       148.869342973,      -0.440373767455
       150.753765036,      -0.444393867958
       152.638187099,       -0.44841396846
       154.522609162,      -0.452434068963
       156.407031225,      -0.456454169465
       158.291453288,      -0.460474269968
       160.175875351,       -0.46449437047
       162.060297414,      -0.468514470973
       163.944719476,      -0.472534571475
       165.829141539,      -0.476554671978
       167.713563602,       -0.48057477248
       169.597985665,      -0.484594872983
       171.482407728,      -0.488614973485
       173.366829791,      -0.492635073988
       175.251251854,       -0.49665517449
       177.135673917,      -0.500675274993
        179.02009598,      -0.504695375495
       180.904518043,      -0.508715475998
       182.788940106,        -0.5127355765
       184.673362169,      -0.516755677003
       186.557784232,      -0.520775777505
       188.442206295,      -0.524795878008
       190.326628358,       -0.52881597851
       192.211050421,      -0.532836079013
       194.095472484,      -0.536856179515
       195.979894547,      -0.540876280018
        197.86431661,       -0.54489638052
       199.748738673,      -0.548916481023
       201.633160735,      -0.552936581525
       203.517582798,      -0.556956682028
       205.402004861,       -0.56097678253
       207.286426924,      -0.564996883033
       209.170848987,      -0.569016983536
        211.05527105,      -0.573037084038
       212.939693113,      -0.577057184541
       214.824115176,      -0.581077285043
       216.708537239,      -0.585097385546
       218.592959302,      -0.589117486048
       220.477381365,      -0.593137586551
       222.361803428,      -0.597157687053
       224.246225491,      -0.601177787556
       226.130647554,      -0.605197888058
       228.015069617,      -0.609217988561
        229.89949168,      -0.613238089063
       231.783913743,      -0.617258189566
       233.668335806,      -0.621278290068
       235.552757869,      -0.625298390571
       237.437179931,      -0.629318491073
       239.321601994,      -0.633338591576
       241.206024057,      -0.637358692078
        243.09044612,      -0.641378792581
       244.974868183,      -0.645398893083
       246.859290246,      -0.649418993586
       248.743712309,      -0.653439094088
       250.628134372,      -0.657459194591
       252.512556435,      -0.661479295093
       254.396978498,      -0.665499395596
       256.281400561,      -0.669519496098
       258.165822624,      -0.673539596601
       260.050244687,      -0.677559697103
        261.93466675,      -0.681579797606
       263.819088813,      -0.685599898108
       265.703510876,      -0.689619998611
       267.587932939,      -0.693640099113
       269.472355002,      -0.697660199616
       271.356777065,      -0.701680300118
