------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Electron Current (A)
       222.361803428,     1.4041829684e-12
       224.246225491,     1.4041829684e-12
       226.130647554,     1.4041829684e-12
       228.015069617,     1.4041829684e-12
        229.89949168,     1.4041829684e-12
       231.783913743,     1.4041829684e-12
       233.668335806,     1.4041829684e-12
       235.552757869,     1.4041829684e-12
       237.437179931,     1.4041829684e-12
       239.321601994,     1.4041829684e-12
       241.206024057,     1.4041829684e-12
        243.09044612,     1.4041829684e-12
       244.974868183,     1.4041829684e-12
       246.859290246,     1.4041829684e-12
       248.743712309,     1.4041829684e-12
       250.628134372,     1.4041829684e-12
       252.512556435,     1.4041829684e-12
       254.396978498,     1.4041829684e-12
       256.281400561,     1.4041829684e-12
       258.165822624,     1.4041829684e-12
       260.050244687,     1.4041829684e-12
        261.93466675,     1.4041829684e-12
       263.819088813,     1.4041829684e-12
       265.703510876,     1.4041829684e-12
       267.587932939,     1.4041829684e-12
       269.472355002,     1.4041829684e-12
       271.356777065,     1.4041829684e-12
       273.241199127,     1.4041829684e-12
        275.12562119,     1.4041829684e-12
       277.010043253,     1.4041829684e-12
       278.894465316,     1.4041829684e-12
       280.778887379,     1.4041829684e-12
       282.663309442,     1.4041829684e-12
       284.547731505,     1.4041829684e-12
       286.432153568,     1.4041829684e-12
       288.316575631,     1.4041829684e-12
       290.200997694,     1.4041829684e-12
       292.085419757,     1.4041829684e-12
        293.96984182,     1.4041829684e-12
       295.854263883,     1.4041829684e-12
       297.738685946,     1.4041829684e-12
       299.623108009,     1.4041829684e-12
       301.507530072,     1.4041829684e-12
       303.391952135,     1.4041829684e-12
       305.276374198,     1.4041829684e-12
       307.160796261,     1.4041829684e-12
       309.045218324,     1.4041829684e-12
       310.929640386,     1.4041829684e-12
       312.814062449,     1.4041829684e-12
       314.698484512,     1.4041829684e-12
       316.582906575,     1.4041829684e-12
       318.467328638,     1.4041829684e-12
       320.351750701,     1.4041829684e-12
       322.236172764,     1.4041829684e-12
       324.120594827,     1.4041829684e-12
        326.00501689,     1.4041829684e-12
       327.889438953,     1.4041829684e-12
       329.773861016,     1.4041829684e-12
       331.658283079,     1.4041829684e-12
       333.542705142,     1.4041829684e-12
       335.427127205,     1.4041829684e-12
       337.311549268,     1.4041829684e-12
       339.195971331,     1.4041829684e-12
       341.080393394,     1.4041829684e-12
       342.964815457,     1.4041829684e-12
        344.84923752,     1.4041829684e-12
       346.733659582,     1.4041829684e-12
       348.618081645,     1.4041829684e-12
       350.502503708,     1.4041829684e-12
       352.386925771,     1.4041829684e-12
