------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Electrostatic Potential (V)
                   0,      -0.424412773384
       1.88442206295,      -0.420392672882
        3.7688441259,      -0.416372572379
       5.65326618884,      -0.412352471877
       7.53768825179,      -0.408332371374
       9.42211031474,      -0.404312270872
       11.3065323777,      -0.400292170369
       13.1909544406,      -0.396272069867
       15.0753765036,      -0.392251969364
       16.9597985665,      -0.388231868862
       18.8442206295,      -0.384211768359
       20.7286426924,      -0.380191667857
       22.6130647554,      -0.376171567354
       24.4974868183,      -0.372151466852
       26.3819088813,      -0.368131366349
       28.2663309442,      -0.364111265847
       30.1507530072,      -0.360091165344
       32.0351750701,      -0.356071064842
       33.9195971331,      -0.352050964339
        35.804019196,      -0.348030863837
        37.688441259,      -0.344010763334
       39.5728633219,      -0.339990662832
       41.4572853849,      -0.335970562329
       43.3417074478,      -0.331950461827
       45.2261295108,      -0.327930361324
       47.1105515737,      -0.323910260822
       48.9949736367,      -0.319890160319
       50.8793956996,      -0.315870059817
       52.7638177626,      -0.311849959314
       54.6482398255,      -0.307829858812
       56.5326618884,      -0.303809758309
       58.4170839514,      -0.299789657807
       60.3015060143,      -0.295769557304
       62.1859280773,      -0.291749456802
       64.0703501402,      -0.287729356299
       65.9547722032,      -0.283709255797
       67.8391942661,      -0.279689155294
       69.7236163291,      -0.275669054791
        71.608038392,      -0.271648954289
        73.492460455,      -0.267628853786
       75.3768825179,      -0.263608753284
       77.2613045809,      -0.259588652781
       79.1457266438,      -0.255568552279
       81.0301487068,      -0.251548451776
       82.9145707697,      -0.247528351274
       84.7989928327,      -0.243508250771
       86.6834148956,      -0.239488150269
       88.5678369586,      -0.235468049766
       90.4522590215,      -0.231447949264
       92.3366810845,      -0.227427848761
       94.2211031474,      -0.223407748259
       96.1055252104,      -0.219387647756
       97.9899472733,      -0.215367547254
       99.8743693363,      -0.211347446751
       101.758791399,      -0.207327346249
       103.643213462,      -0.203307245746
       105.527635525,      -0.199287145244
       107.412057588,      -0.195267044741
       109.296479651,      -0.191246944239
       111.180901714,      -0.187226843736
       113.065323777,      -0.183206743234
        114.94974584,      -0.179186642731
       116.834167903,      -0.175166542229
       118.718589966,      -0.171146441726
       120.603012029,      -0.167126341224
       122.487434092,      -0.163106240721
       124.371856155,      -0.159086140219
       126.256278218,      -0.155066039716
        128.14070028,      -0.151045939214
       130.025122343,      -0.147025838711
       131.909544406,      -0.143005738209
       133.793966469,      -0.138985637706
       135.678388532,      -0.134965537204
       137.562810595,      -0.130945436701
       139.447232658,      -0.126925336199
       141.331654721,      -0.122905235696
       143.216076784,      -0.118885135193
       145.100498847,      -0.114865034691
        146.98492091,      -0.110844934188
       148.869342973,      -0.106824833686
       150.753765036,      -0.102804733183
       152.638187099,     -0.0987846326809
       154.522609162,     -0.0947645321784
       156.407031225,     -0.0907444316759
       158.291453288,     -0.0867243311734
       160.175875351,     -0.0827042306709
       162.060297414,     -0.0786841301684
       163.944719476,     -0.0746640296659
       165.829141539,     -0.0706439291633
       167.713563602,     -0.0666238286608
       169.597985665,     -0.0626037281583
       171.482407728,     -0.0585836276558
       173.366829791,     -0.0545635271533
       175.251251854,     -0.0505434266508
       177.135673917,     -0.0465233261483
        179.02009598,     -0.0425032256458
       180.904518043,     -0.0384831251432
       182.788940106,     -0.0344630246407
       184.673362169,     -0.0304429241382
       186.557784232,     -0.0264228236357
       188.442206295,     -0.0224027231332
       190.326628358,     -0.0183826226307
       192.211050421,     -0.0143625221282
       194.095472484,     -0.0103424216257
       195.979894547,    -0.00632232112315
        197.86431661,    -0.00230222062063
       199.748738673,     0.00171787988188
       201.633160735,     0.00573798038439
       203.517582798,      0.0097580808869
       205.402004861,      0.0137781813894
       207.286426924,      0.0177982818919
       209.170848987,      0.0218183823944
        211.05527105,       0.025838482897
       212.939693113,      0.0298585833995
       214.824115176,       0.033878683902
       216.708537239,      0.0378987844045
       218.592959302,       0.041918884907
       220.477381365,      0.0459389854095
       222.361803428,       0.049959085912
       224.246225491,      0.0539791864145
       226.130647554,      0.0579992869171
       228.015069617,      0.0620193874196
        229.89949168,      0.0660394879221
       231.783913743,      0.0700595884246
       233.668335806,      0.0740796889271
       235.552757869,      0.0780997894296
       237.437179931,      0.0821198899321
       239.321601994,      0.0861399904346
       241.206024057,      0.0901600909372
        243.09044612,      0.0941801914397
       244.974868183,      0.0982002919422
       246.859290246,       0.102220392445
       248.743712309,       0.106240492947
       250.628134372,        0.11026059345
       252.512556435,       0.114280693952
       254.396978498,       0.118300794455
       256.281400561,       0.122320894957
       258.165822624,        0.12634099546
       260.050244687,       0.130361095962
        261.93466675,       0.134381196465
       263.819088813,       0.138401296967
       265.703510876,        0.14242139747
       267.587932939,       0.146441497972
       269.472355002,       0.150461598475
       271.356777065,       0.154481698977
       273.241199127,        0.15850179948
        275.12562119,       0.162521899982
       277.010043253,       0.166542000485
       278.894465316,       0.170562100987
       280.778887379,        0.17458220149
       282.663309442,       0.178602301992
       284.547731505,       0.182622402495
       286.432153568,       0.186642502997
       288.316575631,         0.1906626035
       290.200997694,       0.194682704002
       292.085419757,       0.198702804505
        293.96984182,       0.202722905008
       295.854263883,        0.20674300551
       297.738685946,       0.210763106013
       299.623108009,       0.214783206515
       301.507530072,       0.218803307018
       303.391952135,        0.22282340752
       305.276374198,       0.226843508023
       307.160796261,       0.230863608525
       309.045218324,       0.234883709028
       310.929640386,        0.23890380953
       312.814062449,       0.242923910033
       314.698484512,       0.246944010535
       316.582906575,       0.250964111038
       318.467328638,        0.25498421154
       320.351750701,       0.259004312043
       322.236172764,       0.263024412545
       324.120594827,       0.267044513048
        326.00501689,        0.27106461355
       327.889438953,       0.275084714053
       329.773861016,       0.279104814555
       331.658283079,       0.283124915058
       333.542705142,        0.28714501556
       335.427127205,       0.291165116063
       337.311549268,       0.295185216565
       339.195971331,       0.299205317068
       341.080393394,        0.30322541757
       342.964815457,       0.307245518073
        344.84923752,       0.311265618575
       346.733659582,       0.315285719078
       348.618081645,        0.31930581958
       350.502503708,       0.323325920083
       352.386925771,       0.327346020585
       354.271347834,       0.331366121088
       356.155769897,        0.33538622159
        358.04019196,       0.339406322093
       359.924614023,       0.343426422595
       361.809036086,       0.347446523098
       363.693458149,         0.3514666236
       365.577880212,       0.355486724103
       367.462302275,       0.359506824605
       369.346724338,       0.363526925108
       371.231146401,       0.367547025611
       373.115568464,       0.371567126113
       374.999990527,       0.375587226616

